MIC,Ticker,Company name,Market capital size (in millions)
XNGS,STNE,"StoneCo Ltd",3718.79
XNGS,TITN,"Titan Machinery Inc",428.24
XNYS,THR,"Thermon Group Holdings Inc",901.34
XNYS,TPH,"Tri Pointe Homes Inc (Delaware)",2756.37
XNGS,TOWN,"TowneBank",2518.52
XNGS,TMUS,"T-Mobile US Inc",278070.51
XNYS,TMHC,"Taylor Morrison Home Corp",5830.36
XNYS,TNET,"TriNet Group Inc",4005.03
XNYS,REZI,"Resideo Technologies Inc",3105.21
XNYS,AGS,"PlayAGS Inc",510.78
XNGS,TEAM,"Atlassian Corp",36122.54
XNGS,TREE,"Lendingtree Inc",474.95
XNGS,TRMB,"Trimble Inc",16977.85
XNGS,TRMK,"Trustmark Corp",2071.36
XNGS,TROW,"T Rowe Price Group Inc",20542.27
XNGS,TRS,"TriMas Corp",1043.73
XNGS,TWST,"Twist Bioscience Corp",1817.26
XNGS,TSCO,"Tractor Supply Co",27278.94
XNGS,TSLA,"Tesla Inc",917006.23
XNGS,AXNX,"Axonics Inc",3627.22
XNYS,UMH,"UMH Properties Inc",1408.26
XNYS,UVE,"Universal Insurance Holdings Inc",772.01
XNGS,TTWO,"Take-Two Interactive Software Inc",40990.48
XNGS,TTMI,"TTM Technologies Inc",3263.35
XNYS,ACA,"Arcosa Inc",4340.73
XNMS,CRMD,"CorMedix Inc",893.93
XNGS,WDAY,"Workday Inc",54021.60
XNGS,UBSI,"United Bankshares Inc",5064.42
XNGS,UCBI,"United Community Banks Inc",3318.08
XNYS,IRT,"Independence Realty Trust Inc",4259.56
XNGS,AXON,"Axon Enterprise Inc",61374.47
XNGS,UCTT,"Ultra Clean Holdings Inc",922.40
XNYS,PFE,"Pfizer Inc",131445.65
XNYS,WSR,"Whitestone REIT",623.98
XNGS,UFPI,"Ufp Industries Inc",5880.65
XNCM,UFPT,"UFP Technologies Inc",1880.31
XNGS,ULTA,"Ulta Beauty Inc",20991.40
XNYS,BKSY,"Blacksky Technology Inc",383.94
XNYS,YELP,"Yelp Inc",2349.40
XNGS,UMBF,"UMB Financial Corp",7731.54
XNYS,UNFI,"United Natural Foods Inc",1657.15
XNCM,RKLB,"Rocket Lab USA Inc",12204.89
XNGS,URBN,"Urban Outfitters Inc",6459.38
XNGS,AGIO,"Agios Pharmaceuticals Inc",1944.79
XNMS,ANIP,"ANI Pharmaceuticals Inc",1296.47
XNGS,VECO,"Veeco Instruments Inc",1216.81
XNGS,PANW,"Palo Alto Networks Inc",131432.95
XNGS,AMRK,"A-Mark Precious Metals Inc",508.25
XNGS,WSFS,"WSFS Financial Corp",2945.02
XNGS,VICR,"Vicor Corp",1483.03
XNCM,XPEL,"Xpel Inc",1012.81
XNGS,ARCB,"ArcBest Corp",1449.60
XNGS,SWTX,"SpringWorks Therapeutics Inc",3526.33
XNCM,AXGN,"AxoGen Inc",491.88
XNYS,SPGI,"S&P Global Inc",158183.59
XNYS,BANC,"Banc of California Inc",2011.41
XNCM,BLFS,"BioLife Solutions Inc",1021.25
XNGS,VRSK,"Verisk Analytics Inc",44845.44
XNGS,VRNT,"Verint Systems Inc",1129.81
XNYS,IFF,"International Flavors & Fragrances Inc",19557.73
XNGS,VRSN,"VeriSign, Inc",26093.87
XNGS,VRTX,"Vertex Pharmaceuticals Inc",113971.73
XNYS,NGVT,"Ingevity Corp",1500.17
XNGS,CDW,"CDW Corp",23154.20
XNGS,VSEC,"VSE Corp",2725.30
XNGS,WABC,"Westamerica Bancorp",1249.87
XNGS,CENTA,"Central Garden & Pet Co",1275.97
XNGS,ELVN,"Enliven Therapeutics Inc",1048.61
XNGS,CHEF,"Chefs' Warehouse Inc",2554.92
XNGS,WERN,"Werner Enterprises Inc",1666.68
XNGS,FOXA,"Fox Corp",13310.68
XNGS,FOX,"Fox Corp",11614.14
XNYS,VTS,"Vitesse Energy Inc",854.52
XNGS,CNOB,"ConnectOne Bancorp Inc",867.88
XNMS,WLDN,"Willdan Group Inc",807.18
XNYS,CUBI,"Customers Bancorp Inc",1602.13
XNYS,PLYM,"Plymouth Industrial REIT Inc",725.12
XNGS,WSBC,"WesBanco Inc",2910.35
XNGS,CZR,"Caesars Entertainment Inc",5330.22
XNGS,WYNN,"Wynn Resorts Ltd",8703.10
XNYS,TPB,"Turning Point Brands Inc",1337.56
XNGS,XRAY,"DENTSPLY SIRONA Inc",3168.76
XNMS,KRUS,"Kura Sushi USA Inc",835.84
XNGS,NOVT,"Novanta Inc",4544.20
XNGS,CRWD,"CrowdStrike Holdings Inc",115386.95
XNGS,ZBRA,"Zebra Technologies Corp",14957.97
XNGS,FOXF,"Fox Factory Holding Corp",1099.54
XNGS,ZION,"Zions Bancorporation NA",7036.18
XNGS,ZUMZ,"Zumiez Inc",251.64
XNYS,ABM,"ABM Industries Inc",3189.98
XNYS,T,"AT&T Inc",199749.92
XNYS,NUE,"Nucor Corp",27401.62
XNYS,O,"Realty Income Corp",50418.95
XNYS,A,"Agilent Technologies Inc",32366.34
XNYS,AAT,"American Assets Trust Inc",1200.07
XNGS,GOGO,"Gogo Inc",1464.16
XNYS,ACN,"Accenture PLC",213945.26
XNYS,MBC,"Masterbrand Inc",1309.20
XNGS,ADI,"Analog Devices Inc",108201.96
XNMS,SPRY,"ARS Pharmaceuticals Inc",1319.99
XNYS,AESI,"Atlas Energy Solutions Inc",1576.17
XNGS,IBTX,"Independent Bank Group Inc",2508.95
XNYS,AIN,"Albany International Corp",2008.90
XNYS,AIT,"Applied Industrial Technologies Inc",8726.33
XNYS,AIZ,"Assurant Inc",10245.31
XNGS,ITCI,"Intra-Cellular Therapies Inc",14048.07
XNYS,AJG,"Arthur J. Gallagher & Co.",84026.41
XNYS,ALB,"Albemarle Corp",6899.64
XNYS,ALL,"Allstate Corp",54724.54
XNGS,LKQ,"LKQ Corp",10060.01
XNYS,ATMU,"Atmus Filtration Technologies Inc",2977.55
XNYS,AME,"AMETEK Inc",40849.42
XNCM,PLSE,"Pulse Biosciences Inc",1097.91
XNGS,LGIH,"LGI Homes Inc",1162.97
XNYS,ANF,"Abercrombie & Fitch Co",3788.22
XNYS,APD,"Air Products and Chemicals Inc",61471.16
XNYS,APH,"Amphenol Corp",111912.11
XNCM,CERE,"Cerevel Therapeutics Holdings Inc",8193.30
XNYS,CRC,"California Resources Corp",3922.81
XNYS,OSCR,"Oscar Health Inc",3429.90
XNGS,UPBD,"Upbound Group Inc",1415.57
XNGS,APA,"APA Corp (US)",6455.70
XNYS,GMS,"GMS Inc",2996.65
XNYS,AZZ,"AZZ Inc",2804.20
XNYS,NCLH,"Norwegian Cruise Line Holdings Ltd",8645.71
XNYS,BA,"Boeing Co",157602.22
XNYS,WHD,"Cactus Inc",3075.27
XNGS,ICHR,"Ichor Holdings Ltd",599.49
XNMS,NMIH,"NMI Holdings Inc",3071.01
XNGS,WTW,"Willis Towers Watson PLC",30505.42
XNGS,VCTR,"Victory Capital Holdings Inc",4251.35
XNYS,AUB,"Atlantic Union Bankshares Corp",4272.63
XNYS,BAX,"Baxter International Inc",15472.21
XNMS,PAHC,"Phibro Animal Health Corp",486.58
XNYS,BNL,"Broadstone Net Lease Inc",3047.97
XNYS,SAFE,"Safehold Inc",1093.06
XNYS,BDC,"Belden Inc",4362.82
XNMS,RPD,"Rapid7 Inc",1488.42
XNYS,BDX,"Becton Dickinson and Co",49018.47
XNGS,FWRG,"First Watch Restaurant Group Inc",910.02
XNYS,BEN,"Franklin Resources Inc",11430.09
XNGS,QLYS,"Qualys Inc",5074.76
XNGS,PTC,"PTC Inc",20128.45
XNYS,WRBY,"Warby Parker Inc",2215.46
XNYS,BK,"Bank of New York Mellon Corp",63373.17
XNYS,BKE,"Buckle Inc",2184.49
XNYS,MGY,"Magnolia Oil & Gas Corp",4135.31
XNYS,BKU,"BankUnited Inc",2530.13
XNYS,BLK,"BlackRock Inc",152673.55
XNGS,RUSHA,"Rush Enterprises Inc",3095.99
XNYS,ACEL,"Accel Entertainment Inc",941.21
XNGS,SFM,"Sprouts Farmers Market Inc",16451.99
XNYS,BR,"Broadridge Financial Solutions Inc",28765.62
XNYS,BRK.B,"Berkshire Hathaway Inc",654865.48
XNGS,UPST,"Upstart Holdings Inc",4888.54
XNCM,SMPL,"Simply Good Foods Co",3367.93
XNYS,BTU,"Peabody Energy Corp",1602.69
XNYS,LCII,"LCI Industries",2233.53
XNYS,EE,"Excelerate Energy Inc",990.94
XNYS,BXP,"BXP Inc",11369.29
XNYS,FTV,"Fortive Corp",24389.95
XNYS,BZH,"Beazer Homes USA Inc",661.83
XNYS,C,"Citigroup Inc",143199.14
XNYS,CAH,"Cardinal Health Inc",36784.90
XNYS,CAT,"Caterpillar Inc",164374.74
XNCM,VRDN,"Viridian Therapeutics Inc",1161.87
XNYS,CB,"Chubb Ltd",116819.56
XNGS,DDOG,"Datadog Inc",38898.89
XNYS,ATKR,"Atkore Inc",2237.50
XNGS,TILE,"Interface Inc",1176.90
XNYS,CBRE,"CBRE Group Inc",38050.10
XNCM,TGTX,"TG Therapeutics Inc",6239.07
XNYS,CBU,"Community Financial System Inc",2939.07
XNYS,PR,"Permian Resources Corp",9228.12
XNGS,PYPL,"PayPal Holdings Inc",70479.45
XNYS,CBZ,"CBIZ Inc",4000.25
XNGS,ON,"ON Semiconductor Corp",20702.04
XNYS,PLD,"Prologis Inc",100048.98
XNYS,HGV,"Hilton Grand Vacations Inc",3577.73
XNYS,LRN,"Stride Inc",6297.38
XNYS,ROL,"Rollins Inc",28027.10
XNYS,SM,"SM Energy Co",2748.24
XNGS,RRR,"Red Rock Resorts Inc",2968.94
XNGS,PNTG,"Pennant Group Inc",1021.66
XNMS,VCYT,"Veracyte Inc",2112.93
XNYS,CCS,"Century Communities Inc",1629.67
XNGS,ETSY,"ETSY Inc",6540.58
XNGS,NXT,"Nextracker Inc",8433.58
XNGS,MLYS,"Mineralys Therapeutics Inc",1018.04
XNGS,PRDO,"Perdoceo Education Corp",2180.39
XNYS,BIPC,"Brookfield Infrastructure Corp",4872.26
XNGS,LNW,"Light & Wonder Inc",7239.69
XNGS,AZN,"AstraZeneca PLC",224377.38
XNGS,EBC,"Eastern Bankshares Inc",3108.56
XNYS,WRB,"W R Berkley Corp",28023.02
XNGS,FTAI,"FTAI Aviation Ltd",12664.64
XNYS,CTRE,"CareTrust REIT Inc",5591.57
XNYS,WST,"West Pharmaceutical Services Inc",15703.96
XNGS,AMPH,"Amphastar Pharmaceuticals Inc",1202.99
XNYS,FNA,"Paragon 28 Inc",1100.41
XNYS,EPRT,"Essential Properties Realty Trust Inc",6373.72
XNYS,WY,"Weyerhaeuser Co",19364.79
XNGS,XEL,"Xcel Energy Inc",39548.48
XNMS,CDNA,"CareDx Inc",1044.57
XNYS,WD,"Walker & Dunlop Inc",2289.68
XNYS,WEC,"WEC Energy Group Inc",33442.00
XNGS,PLMR,"Palomar Holdings Inc",4502.57
XNYS,WFC,"Wells Fargo & Co",243738.27
XNYS,WGO,"Winnebago Industries Inc",920.07
XNYS,WM,"Waste Management Inc",96030.64
XNGS,IIIV,"I3 Verticals Inc",606.20
XNYS,WOR,"Worthington Enterprises Inc",2960.59
XNYS,VNO,"Vornado Realty Trust",7514.81
XNYS,ETRN,"Equitrans Midstream Corp",5463.76
XNYS,VPG,"Vishay Precision Group Inc",335.10
XNYS,VSH,"Vishay Intertechnology Inc",1817.29
XNYS,VTR,"Ventas Inc",28567.18
XNCM,AMPL,"Amplitude Inc",1281.38
XNYS,WAT,"Waters Corp",20609.78
XNYS,WAB,"Westinghouse Air Brake Technologies Corp",34938.86
XNMS,LOVE,"Lovesac Co",285.32
XNMS,TRUP,"Trupanion Inc",2035.65
XNYS,GRMN,"Garmin Ltd",39563.42
XNGS,BKR,"Baker Hughes Co",36806.36
XNYS,V,"Visa Inc",627537.99
XNMS,EVER,"EverQuote Inc",801.11
XNYS,OEC,"Orion SA",631.35
XNGS,VC,"Visteon Corp",2253.44
XNYS,VFC,"VF Corp",4906.88
XNCM,VKTX,"Viking Therapeutics Inc",3036.85
XNYS,VLO,"Valero Energy Corp",39739.59
XNYS,CTLT,"Catalent Inc",11523.26
XNYS,SYF,"Synchrony Financial",21868.38
XNYS,TYL,"Tyler Technologies Inc",24743.86
XNGS,UAL,"United Airlines Holdings Inc",26242.36
XNYS,CFG,"Citizens Financial Group Inc",17603.38
XNMS,LNTH,"Lantheus Holdings Inc",5557.70
XNGS,HQY,"Healthequity Inc",9745.77
XNYS,RDW,"Redwire Corp",1362.83
XNYS,UDR,"UDR Inc",13576.50
XNGS,BPMC,"Blueprint Medicines Corp",8260.06
XNYS,URI,"United Rentals Inc",45446.03
XNYS,UPS,"United Parcel Service Inc",71076.14
XNYS,USB,"US Bancorp",68054.64
XNYS,TMO,"Thermo Fisher Scientific Inc",150378.47
XNYS,TNK,"Teekay Tankers Ltd",1345.33
XNYS,VTLE,"Vital Energy Inc",639.29
XNMS,VITL,"Vital Farms Inc",1359.74
XNYS,TRN,"Trinity Industries Inc",2092.56
XNMS,LBPH,"Longboard Pharmaceuticals Inc",2065.48
XNYS,TAP,"Molson Coors Beverage Co",9844.98
XNGS,WFRD,"Weatherford International PLC",3397.80
XNGS,COLL,"Collegium Pharmaceutical Inc",947.89
XNYS,TDG,"TransDigm Group Inc",81132.79
XNYS,TDY,"Teledyne Technologies Inc",23430.61
XNGS,TER,"Teradyne Inc",13112.75
XNYS,TEL,"TE Connectivity PLC",48135.43
XNYS,TFX,"Teleflex Inc",5411.38
XNGS,AKRO,"Akero Therapeutics Inc",4299.97
XASE,LEU,"Centrus Energy Corp",2224.81
XNYS,SSD,"Simpson Manufacturing Co Inc",6671.13
XNYS,STC,"Stewart Information Services Corp",1698.90
XNYS,STE,"STERIS plc",23961.53
XNYS,STZ,"Constellation Brands Inc",30365.61
XNYS,STT,"State Street Corp",27514.32
XNGS,PLAY,"Dave & Buster's Entertainment Inc",781.73
XNMS,VBTX,"Veritex Holdings Inc",1310.11
XNYS,SWK,"Stanley Black & Decker Inc",10125.94
XNGS,CECO,"CECO Environmental Corp",943.77
XNYS,SNA,"Snap-On Inc",16681.88
XNYS,SO,"Southern Co",97134.49
XNYS,SPG,"Simon Property Group Inc",52471.54
XNYS,SR,"Spire Inc",4343.64
XNYS,SRE,"Sempra",49512.82
XNYS,SEM,"Select Medical Holdings Corp",1971.79
XNYS,ROK,"Rockwell Automation Inc",36125.63
XNMS,INBX,"Inhibrx Inc",436.20
XNYS,SHW,"Sherwin-Williams Co",89684.94
XNYS,SIG,"Signet Jewelers Ltd",3078.04
XNGS,DCPH,"Deciphera Pharmaceuticals Inc",2214.65
XNYS,SIX,"Six Flags Entertainment Corp/OLD",2694.96
XNYS,SJM,"J M Smucker Co",11816.50
XNYS,SLB,"Schlumberger NV",44994.15
XNYS,SKY,"Champion Homes Inc",3745.13
XNYS,SLG,"SL Green Realty Corp",4407.30
XNYS,ASAN,"Asana Inc",2292.79
XNYS,ROG,"Rogers Corp",1231.16
XNYS,RSG,"Republic Services Inc",79111.74
XNYS,SAH,"Sonic Automotive Inc",1568.77
XNGS,PETQ,"PetIQ Inc",919.47
XNGS,REG,"Regency Centers Corp",12932.15
XNYS,RF,"Regions Financial Corp",19165.19
XNYS,RGR,"Sturm Ruger & Company Inc",592.17
XNYS,RL,"Ralph Lauren Corp",10576.31
XNGS,JD,"JD.Com Inc",52186.78
XNYS,RMD,"Resmed Inc",36611.40
XNMS,VERA,"Vera Therapeutics Inc",1682.10
XNMS,MORF,"Morphic Holding Inc",2862.05
XNGS,AMBA,"Ambarella Inc",2193.23
XNYS,RCL,"Royal Caribbean Cruises Ltd",73701.48
XNYS,BBWI,"Bath & Body Works Inc",5626.76
XNYS,RDN,"Radian Group Inc",4459.89
XNYS,STEL,"Stellar Bancorp Inc",1378.45
XNMS,SUPN,"Supernus Pharmaceuticals Inc",1810.70
XNGS,MTSI,"MACOM Technology Solutions Holdings Inc",9490.96
XNYS,D,"Dominion Energy Inc",47756.27
XNYS,FBK,"FB Financial Corp",1960.11
XNGS,WAFD,"WaFd Inc",2277.30
XNGS,EWTX,"Edgewise Therapeutics Inc",1559.07
XNYS,KNTK,"Kinetik Holdings Inc",2663.53
XNGS,CRDO,"Credo Technology Group Holding Ltd",12395.49
XNGS,THRM,"Gentherm Inc",835.37
XNYS,PWR,"Quanta Services Inc",53312.64
XNYS,KEYS,"Keysight Technologies Inc",27508.16
XNYS,B,"Barnes Group Inc",2418.63
XNYS,F,"Ford Motor Co",39447.54
XNMS,EVBG,"Everbridge Inc",1456.56
XNGS,CHUY,"Chuy's Holdings Inc",645.88
XNMS,ENPH,"Enphase Energy Inc",5418.85
XNGS,NWS,"News Corp",6081.00
XNGS,KE,"Kimball Electronics Inc",452.01
XNYS,K,"Kellanova",28501.04
XNYS,IQV,"IQVIA Holdings Inc",25495.01
XNGS,PCRX,"Pacira Biosciences Inc",1237.82
XNYS,POR,"Portland General Electric Co",4514.18
XNYS,PPG,"PPG Industries Inc",25256.02
XNGS,FANG,"Diamondback Energy Inc",40158.49
XNYS,AGX,"Argan Inc",3209.00
XNYS,PSFE,"Paysafe Ltd",739.29
XNYS,MRC,"MRC Global Inc",1084.44
XNYS,PRO,"Pros Holdings Inc",880.49
XNYS,PSA,"Public Storage",52710.10
XNGS,EA,"Electronic Arts Inc",37083.27
XNYS,DOC,"Healthpeak Properties Inc",11866.02
XNGS,HST,"Host Hotels & Resorts Inc",10662.39
XNYS,BCC,"Boise Cascade Co",3291.47
XNYS,PJT,"PJT Partners Inc",3690.49
XNMS,ADMA,"ADMA Biologics Inc",4760.36
XNYS,PM,"Philip Morris International Inc",283223.87
XNYS,PMT,"PennyMac Mortgage Investment Trust",1075.45
XNYS,PNC,"PNC Financial Services Group Inc",69105.56
XNGS,INTA,"Intapp Inc",4581.26
XNYS,GNE,"Genie Energy Ltd",573.41
XNYS,PNW,"Pinnacle West Capital Corp",10673.08
XNYS,HLT,"Hilton Worldwide Holdings Inc",59061.25
XNYS,PEG,"Public Service Enterprise Group Inc",39835.00
XNYS,HII,"Huntington Ingalls Industries Inc",8820.17
XNYS,FBRT,"Franklin BSP Realty Trust Inc",897.78
XNYS,HCA,"HCA Healthcare Inc",91778.94
XNGS,PFG,"Principal Financial Group Inc",17025.05
XNMS,RYTM,"Rhythm Pharmaceuticals Inc",4210.47
XNYS,IBP,"Installed Building Products Inc",4686.95
XNYS,PG,"Procter & Gamble Co",381691.44
XNYS,PH,"Parker-Hannifin Corp",84585.21
XNYS,PRLB,"Proto Labs Inc",886.88
XNGS,MNST,"Monster Beverage Corp",61440.51
XNGS,MDLZ,"Mondelez International Inc",85936.90
XNYS,YOU,"Clear Secure Inc",2395.23
XNYS,PHM,"Pultegroup Inc",20371.42
XNGS,ONB,"Old National Bancorp",6561.19
XNYS,CTRA,"Coterra Energy Inc",18951.76
XNGS,INTC,"Intel Corp",87196.38
XNYS,FPI,"Farmland Partners Inc",527.97
XNYS,OXY,"Occidental Petroleum Corp",41156.43
XNGS,AKAM,"Akamai Technologies Inc",11132.15
XNGS,ADBE,"Adobe Inc",176958.24
XNYS,OXM,"Oxford Industries Inc",808.66
XNGS,CRNX,"Crinetics Pharmaceuticals Inc",3026.09
XNYS,PBH,"Prestige Consumer Healthcare Inc",4181.47
XNMS,VCEL,"Vericel Corp",2184.88
XNYS,MEG,"Montrose Environmental Group Inc",724.82
XNGS,AMZN,"Amazon.com Inc",2207245.83
XNGS,ALTR,"Altair Engineering Inc",6756.18
XNGS,AMGN,"Amgen Inc",154375.43
XNGS,AMAT,"Applied Materials Inc",131762.18
XNGS,AAPL,"Apple Inc",2996574.77
XNYS,BAC,"Bank of America Corp",334264.66
XNGS,PARA,"Paramount Global",7538.12
XNGS,CSCO,"Cisco Systems Inc",255895.08
XNYS,NOG,"Northern Oil and Gas Inc",2743.97
XNGS,CMCSA,"Comcast Corp",135593.77
XNGS,COST,"Costco Wholesale Corp",448271.07
XNMS,PUBM,"PubMatic Inc",478.90
XNYS,XOM,"Exxon Mobil Corp",438782.25
XNGS,EBAY,"eBay Inc",35838.14
XNGS,CARG,"CarGurus Inc",2686.90
XNGS,GILD,"Gilead Sciences Inc",137404.41
XNGS,GOOG,"Alphabet Inc",933445.57
XNGS,BBIO,"BridgeBio Pharma Inc",7280.03
XNYS,OFG,"OFG Bancorp",1845.93
XNGS,MSFT,"Microsoft Corp",3476052.11
XNGS,MRVL,"Marvell Technology Inc",56180.95
XNYS,CDRE,"Cadre Holdings Inc",1380.80
XNYS,OI,"O-I Glass Inc",2049.55
XNGS,NFLX,"Netflix Inc",532185.38
XNGS,NTAP,"NetApp Inc",21276.85
XNYS,OKE,"ONEOK Inc",51112.67
XNYS,BE,"Bloom Energy Corp",4749.07
XNGS,QCOM,"Qualcomm Inc",162020.88
XNGS,PDD,"PDD Holdings Inc",141013.48
XNGS,SBUX,"Starbucks Corp",98855.44
XNGS,PTCT,"PTC Therapeutics Inc",4099.97
XNGS,TENB,"Tenable Holdings Inc",3977.88
XNCM,LQDA,"Liquidia Corp",1540.43
XNYS,NX,"Quanex Building Products Corp",806.81
XNMS,IRON,"Disc Medicine Inc",1662.79
XNYS,QTWO,"Q2 Holdings Inc",5606.10
XNGS,VRNS,"Varonis Systems Inc",5611.92
XNYS,IBM,"International Business Machines Corp",248018.77
XNYS,NRG,"NRG Energy Inc",30505.49
XNYS,AI,"C3.ai Inc",3274.91
XNGS,AAL,"American Airlines Group Inc",7432.70
XNGS,ABNB,"Airbnb Inc",59254.67
XNGS,GOOGL,"Alphabet Inc",978982.20
XNYS,NEE,"Nextera Energy Inc",147192.12
XNYS,ARLO,"Arlo Technologies Inc",1681.16
XNYS,NHI,"National Health Investors Inc",3332.06
XNYS,NI,"NiSource Inc",18352.71
XNYS,MYE,"Myers Industries Inc",505.03
XNYS,ACHR,"Archer Aviation Inc",5138.74
XNGS,SLP,"Simulations Plus Inc",558.89
XNYS,REVG,"REV Group Inc",2094.38
XNYS,NBR,"Nabors Industries Ltd",447.44
XNMS,RNA,"Avidity Biosciences Inc",4289.31
XNGS,ANAB,"AnaptysBio Inc",621.10
XNMS,NRDS,"NerdWallet Inc",465.10
XNYS,MIR,"Mirion Technologies Inc",4463.73
XNYS,MS,"Morgan Stanley",209556.17
XNYS,ARIS,"Aris Water Solutions Inc",778.50
XNYS,MTH,"Meritage Homes Corp",4686.21
XNYS,MUR,"Murphy Oil Corp",3074.10
XNYS,MHO,"M/I Homes Inc",2931.75
XNYS,MHK,"Mohawk Industries Inc",6301.86
XNYS,CIVI,"Civitas Resources Inc",2542.24
XNYS,MLI,"Mueller Industries Inc",8543.27
XNYS,MLM,"Martin Marietta Materials Inc",33159.39
XNYS,MOD,"Modine Manufacturing Co",4834.20
